,trial_id,last_updated,trial_status,pcd,scd,results_status
0,KCT0005003,2020-05-07,Not yet recruiting,2021-03-31,2021-04-21,No
1,KCT0005105,2020-06-10,Recruiting,2021-04-16,2021-04-16,No
2,KCT0005307,2020-08-04,Recruiting,2021-11-30,2021-11-30,No
3,KCT0005344,2020-08-11,Recruiting,,,No
4,KCT0005649,2020-10-19,Recruiting,2020-12-31,2021-02-28,No
5,KCT0005711,2020-12-21,Not yet recruiting,2021-08-06,2021-08-06,No
6,KCT0005834,2021-02-08,Recruiting,2021-05-12,2021-05-12,No
7,KCT0005896,2020-11-23,"Active, not recruiting",,,No
8,KCT0006152,2021-04-30,Not yet recruiting,2021-12-31,2023-01-31,No
9,KCT0006252,2021-06-09,Not yet recruiting,,,No
