,trial_id,status,secondary_ids
0,JPRN-jRCTs031190227,Suspended,
1,JPRN-jRCTs032200044,Recruiting,
2,JPRN-jRCTs031190226,Recruiting,
3,JPRN-jRCTs041200025,Recruiting,
4,JPRN-jRCTs051200036,Recruiting,
5,JPRN-jRCT2071200023,Recruiting,
6,JPRN-jRCTs021200020,Recruiting,
7,JPRN-jRCTs041190120,Complete,
8,JPRN-jRCT2031200120,Recruiting,
9,JPRN-jRCT2031200126,Recruiting,NCT04369469
10,JPRN-jRCTs031190269,Not Recruiting,
11,JPRN-jRCTs031200124,Recruiting,
12,JPRN-jRCTs032200131,Recruiting,
13,JPRN-jRCTs051200060,Pending,
14,JPRN-jRCT2021200018,Recruiting,
15,JPRN-jRCT2071200041,Pending,
16,JPRN-jRCTs031200026,Recruiting,
17,JPRN-jRCTs031200150,Recruiting,
18,JPRN-jRCTs051200049,Recruiting,
19,JPRN-jRCTs052200053,Recruiting,
20,JPRN-jRCTs061200002,Recruiting,
21,JPRN-jRCTs071200048,Recruiting,
22,JPRN-jRCT1051200078,Recruiting,
23,JPRN-jRCT2031200174,Recruiting,NCT04546581
24,JPRN-jRCT2031200180,Recruiting,
25,JPRN-jRCT2051200085,Recruiting,
26,JPRN-jRCT2051200088,Recruiting,NCT04655625
27,JPRN-jRCTs031200196,Recruiting,
