,trial_id,trial_status,last_enrollment
0,RBR-6m69fc,Recruiting,12/31/2020
1,RBR-8969zg,Not yet recruiting,10/14/2020
2,RBR-658khm,Recruiting,12/01/2020
3,RBR-6w5tbk,Not yet recruiting,07/31/2020
4,RBR-5s2mqg,Recruiting,12/31/2020
5,RBR-3k4wxb,Not yet recruiting,11/30/2020
6,RBR-4vm3yy,Recruiting,05/31/2020
7,RBR-2dxyx4,Not yet recruiting,06/11/2020
8,RBR-949z6v,Recruiting,05/30/2021
9,RBR-876qb5,Recruiting,07/10/2020
10,RBR-3zdynp,Recruiting,12/31/2020
11,RBR-4wnx2q,Recruiting,06/06/2022
12,RBR-5kkpg6,Not yet recruiting,09/30/2020
13,RBR-7jqpnw,Not yet recruiting,07/30/2021
14,RBR-3rywwg,Recruiting,08/30/2020
15,RBR-7jrxqm,Recruiting,10/01/2020
16,RBR-45kf9p,Recruiting,12/31/2020
17,RBR-7drpyr,Recruitment completed,
18,RBR-5ysj54,Not yet recruiting,11/14/2020
19,RBR-3g5f9f,Not yet recruiting,09/28/2020
20,RBR-8jyhxh,Recruiting,09/30/2020
21,RBR-2w7ghc,Recruiting,09/30/2020
22,RBR-7d7ngw,Recruiting,12/20/2020
23,RBR-2k66ft,Not yet recruiting,10/31/2020
24,RBR-9y32yy,Not yet recruiting,12/31/2021
25,RBR-4vy54v,Not yet recruiting,
26,RBR-4pfygr,Not yet recruiting,08/30/2020
27,RBR-3rdhgm,Recruiting,04/30/2021
28,RBR-9xs978,Recruiting,11/30/2020
29,RBR-2z3f7k,Recruiting,12/29/2020
30,RBR-2kjm6y,Recruiting,09/30/2020
31,RBR-72bg24,Not yet recruiting,12/15/2020
32,RBR-3fz9yr,Recruitment completed,
33,RBR-5vpyh4,Recruiting,12/28/2020
34,RBR-2fvjjm,Recruiting,12/31/2020
35,RBR-9rnkbs,Recruiting,11/30/2020
36,RBR-8nfx26,Not yet recruiting,10/10/2021
37,RBR-97nt6j,Not yet recruiting,10/05/2021
38,RBR-5v3k5d,Recruiting,07/05/2021
39,RBR-8h7q82,Recruitment completed,
40,RBR-2xxrrq,Recruitment completed,
41,RBR-825p57,Recruiting,06/25/2021
42,RBR-4nr86m,Recruiting,12/08/2020
43,RBR-58ftdj,Recruiting,11/30/2020
44,RBR-9b6kvp,Not yet recruiting,11/10/2020
45,RBR-4kjqtg,Recruiting,12/31/2020
46,RBR-8x8g36,Not yet recruiting,11/30/2020
47,RBR-5d7hkv,Recruiting,04/30/2021
48,RBR-2fvw6v,Not yet recruiting,04/04/2022
49,RBR-2z5t7z,Recruiting,10/04/2022
50,RBR-4jh63b,Recruiting,01/20/2021
51,RBR-3cbs3w,Recruiting,07/10/2020
